GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
empty-repo,com.thoughtworks,Dependency,0,5,0,0,0,2,0,2,0,2
empty-repo,com.thoughtworks,HelloWorld,0,10,0,0,0,4,0,2,0,2
